,Fluid milk total,Butter,Cheese,Yogurt,"Dairy, Other"
94-98 FAH,82.57,65.97,57.47,89.68,66.56
03-04 FAH,88.83,74.0,56.3,87.12,73.48
05-06 FAH,88.61,77.54,54.56,94.38,69.41
07-08 FAH,87.86,74.37,55.2,88.52,69.87
