,Apples as fruit,Bananas,Berries,Grapes,Melons,"Oranges, Total",Other citrus fruit,Stone fruit,Tropical fruit
94-98 FAH,90.42,94.18,81.73,88.13,84.96,89.77,80.64,89.55,80.4
03-04 FAH,91.21,94.57,88.29,90.14,80.99,88.07,69.6,87.94,85.85
05-06 FAH,91.5,93.67,90.92,91.33,93.57,88.86,75.13,89.61,76.57
07-08 FAH,91.69,94.2,87.99,90.02,85.48,89.35,77.85,94.3,80.72
